Age,Group,Rate_per_1000
  10 - 14 Years,Male,0.1
  15 - 19 Years,Male,0.3
  20 - 24 Years,Male,0.3
  25 - 29 Years,Male,0.4
  30 - 34 Years,Male,0.4
  35 - 39 Years,Male,0.7
  40 - 44 Years,Male,1
  45 - 49 Years,Male,1.9
  50 - 54 Years,Male,2.9
  55 - 59 Years,Male,5.1
  60 - 64 Years,Male,8.6
  65 - 69 Years,Male,12.6
  70 - 74 Years,Male,21.4
  75 - 79 Years,Male,36
  80 - 84 Years,Male,63.7
  10 - 14 Years,Female,0.1
  15 - 19 Years,Female,0.3
  20 - 24 Years,Female,0.2
  25 - 29 Years,Female,0.2
  30 - 34 Years,Female,0.2
  35 - 39 Years,Female,0.4
  40 - 44 Years,Female,0.6
  45 - 49 Years,Female,1.1
  50 - 54 Years,Female,1.8
  55 - 59 Years,Female,2.6
  60 - 64 Years,Female,4.3
  65 - 69 Years,Female,6.8
  70 - 74 Years,Female,10.8
  75 - 79 Years,Female,21.9
  80 - 84 Years,Female,39.7
