Age,Group,Year 2024,Year 2023,Year 2022,Year 2021
  0 Year,Male,14971,15584,16468,16239
  1 Year,Male,16590,17473,17311,18411
  2 Year,Male,17911,17811,19016,18236
  3 Year,Male,18100,19461,18851,18738
  4 Year,Male,19801,19300,19260,19419
  5 Year,Male,19592,19729,19889,20415
  6 Year,Male,19997,20284,20898,20580
  7 Year,Male,20561,21310,21037,19819
  8 Year,Male,21520,21428,20178,20914
  9 Year,Male,21619,20498,21268,20252
  10 Year,Male,20657,21640,20575,19210
  0 Year,Female,14275,14468,15605,15372
  1 Year,Female,15493,16750,16533,17761
  2 Year,Female,17113,17002,18303,17856
  3 Year,Female,17287,18688,18353,17906
  4 Year,Female,18955,18731,18385,18497
  5 Year,Female,18980,18789,18985,19281
  6 Year,Female,19021,19418,19802,19676
  7 Year,Female,19646,20244,20125,18948
  8 Year,Female,20424,20547,19312,19481
  9 Year,Female,20722,19727,19866,19394
  10 Year,Female,19898,20310,19759,18303
